"report_id","date_time","police_beat","address_number_primary","address_pd_primary","address_road_primary","address_sfx_primary","address_pd_intersecting","address_name_intersecting","address_sfx_intersecting","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"180282","2018-01-01 00:30:00","124","6500"," ","EL CAMINO DE TEATRO"," "," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0",""
"180310","2018-01-01 01:00:00","616","500"," ","ROSECRANS","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"180573","2018-01-01 01:26:00","721","0"," ","PALM","AVENUE"," ","18TH","STREET","21954A","VC","PEDESTRIANS OUTSIDE CROSSWALKS","0","1",""
"180317","2018-01-01 02:05:00","512","3100"," ","LOGAN","AVENUE"," "," "," ","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","0","0","MISDEMEANOR"
"180319","2018-01-01 02:26:00","439","6200"," ","DIVISION","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"190145","2018-01-01 03:10:00","116","4100"," ","GESNER","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180702","2018-01-01 03:13:00","116","0"," ","CLAIREMONT","DRIVE"," ","BURGENER","BOULEVARD","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","1",""
"180262","2018-01-01 06:03:00","521","700"," ","11TH","AVENUE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"189605","2018-01-01 08:30:00","712","1800"," ","VIA LAS TONADAS"," "," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"180425","2018-01-01 10:10:00","825","4300"," ","FAIRMOUNT","AVENUE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","3","0",""
"190263","2018-01-01 11:31:00","723","3000"," ","CORONADO","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"181249","2018-01-01 12:00:00","614","2000"," ","ABBOTT","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"188748","2018-01-01 14:15:00","121","3500"," ","OCEAN FRONT","WALK"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"180353","2018-01-01 15:57:00","524","0"," ","03RD","AVENUE"," ","A","STREET","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","0","0","MISDEMEANOR"
"180801","2018-01-01 16:00:00","934","12300"," ","CARMEL COUNTRY","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"180386","2018-01-01 16:40:00","622","0"," ","I-5 NB"," "," ","TECOLOTE","ROAD","22101D","VC","OBEDIENCE TO OFFICIAL TRAFFIC CONTROL","1","0",""
"180302","2018-01-01 17:15:00","521","1000"," ","F","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0","MISDEMEANOR"
"180476","2018-01-01 17:45:00","313","4700"," ","CONVOY","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"180395","2018-01-01 18:00:00","725","1300"," ","MAR REEF","COVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180309","2018-01-01 18:18:00","324","8300"," ","NAVAJO","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180428","2018-01-01 19:30:00","124","7400"," ","LA JOLLA","BOULEVARD"," "," "," ","21650","VC","FAILURE TO DRIVE ON RIGHT SIDE OF ROADWAY","1","0",""
"180289","2018-01-01 19:40:00","622","1200"," ","BENICIA","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180339","2018-01-01 20:45:00","934","6800"," ","CARMEL VALLEY","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"180299","2018-01-01 21:00:00","524","600"," ","MARKET","STREET"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","0","0","MISDEMEANOR"
"180318","2018-01-01 22:00:00","441","4400"," ","BOSTON","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180344","2018-01-01 22:33:00","434","7500"," ","DEVILLE","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","2","0",""
"180399","2018-01-02 00:01:00","437","2900"," ","ALTA VIEW","DRIVE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","0","0","MISDEMEANOR"
"180537","2018-01-02 00:01:00","113","4600"," ","MORENA","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"181041","2018-01-02 01:22:00","436","0"," ","MIGUEL VISTA","PLACE"," ","PARKBROOK","WAY","23152(F)","VC","DUI DRUGS","0","0","MISDEMEANOR"
"188346","2018-01-02 01:35:00","123","1900"," ","QUIVIRA","WAY"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0",""
"180559","2018-01-02 06:14:00","445","500"," ","EUCLID","AVENUE"," "," "," ","21453C","VC","RED ARROWDO NOT ENTER INTERSECTION","2","0",""
"180453","2018-01-02 07:20:00","825","4900"," ","CANTERBURY","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180346","2018-01-02 07:25:00","437","2200"," ","ALTA VIEW","DRIVE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180439","2018-01-02 07:59:00","611","2400"," ","CUSHING","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"180496","2018-01-02 08:25:00","531","3100"," ","PERSHING","DRIVE"," "," "," ","22101D","VC","OBEDIENCE TO OFFICIAL TRAFFIC CONTROL","1","0",""
"180333","2018-01-02 09:34:00","937","7900"," ","CAMINITO SANTALUZ NO"," "," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"180451","2018-01-02 12:00:00","116","2900"," ","HARTFORD","COURT"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180297","2018-01-02 12:00:00","827","5300"," ","STREAMVIEW","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"19200005","2018-01-02 12:05:00","313","4500"," ","KEARNY VILLA","ROAD"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY (I)","0","0",""
"180336","2018-01-02 12:40:00","313","5800"," ","COPLEY","DRIVE"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","1","0",""
"180440","2018-01-02 12:43:00","611","3400"," ","ROSECRANS","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
